kode,kategori,nama
1101092007,Kelurahan,Panton Bilie
1101092012,Kelurahan,Kuta Padang
1101092013,Kelurahan,Raket
1101092014,Kelurahan,Gampong Teungoh
1101092015,Kelurahan,Seuneubok  Jaya
1101092016,Kelurahan,Padang Harapan
110110,Kecamatan,Pasi Raja
1101102001,Kelurahan,Ladang Teungoh
1101102002,Kelurahan,Pucok Krueng
1101102003,Kelurahan,Silolo
1101102004,Kelurahan,Kampung Baru
1101102005,Kelurahan,Panton Bili
1101102006,Kelurahan,Paya Ateuk
1101102007,Kelurahan,Ladang Tuha
1101102008,Kelurahan,Mata Ie
1101102009,Kelurahan,Ujong Batee
1101102010,Kelurahan,Lhok Sialang Cut
1101102011,Kelurahan,Seuneubok
1101102012,Kelurahan,Ie Mirah
1101102013,Kelurahan,Pasie Rasian
1101102014,Kelurahan,Ujung Padang Rasian
1101102015,Kelurahan,Krueng Kalee
1101102016,Kelurahan,Lhok Sialang Rayeuk
1101102017,Kelurahan,Gampong Baro
1101102018,Kelurahan,Teupin Gajah
1101102019,Kelurahan,Ujung Padang Asahan
1101102020,Kelurahan,Pulo Ie II
1101102021,Kelurahan,Pante Raja
110111,Kecamatan,Labuhan Haji Timur
1101112001,Kelurahan,Tengah Peulumat
1101112002,Kelurahan,Paya Peulumat
1101112003,Kelurahan,Padang Peulumat
1101112004,Kelurahan,Aur Peulumat
1101112005,Kelurahan,Limau Saring
1101112006,Kelurahan,Beutong
1101112007,Kelurahan,Peuneulop
1101112008,Kelurahan,Gunung Rotan
1101112009,Kelurahan,Keumumu  Hilir
1101112010,Kelurahan,Keumumu Hulu
1101112011,Kelurahan,Keumumu Seberang
1101112012,Kelurahan,Sawang Indah
110112,Kecamatan,Labuhan Haji Barat
1101122001,Kelurahan,Tutong
1101122002,Kelurahan,Teungoh Iboh
1101122003,Kelurahan,Peulokan
1101122004,Kelurahan,Kuta Iboh
1101122005,Kelurahan,Ujung Padang
1101122006,Kelurahan,Blang Baru
1101122007,Kelurahan,Blang Poroh
1101122008,Kelurahan,Pulo Ie
1101122009,Kelurahan,Suak Lokan
1101122010,Kelurahan,Iku Lhueng
1101122011,Kelurahan,Kuta Trieng
1101122012,Kelurahan,Pante Geulima
1101122013,Kelurahan,Panton Pawoh
1101122014,Kelurahan,Batee Meucanang
1101122015,Kelurahan,Panton Rubek
110113,Kecamatan,Kluet Tengah
1101132001,Kelurahan,Koto
1101132002,Kelurahan,Alur Keujrun
1101132003,Kelurahan,Jambo Papan
1101132004,Kelurahan,Malaka
1101132005,Kelurahan,Koto Indarung
1101132006,Kelurahan,Siurai-Urai
1101132007,Kelurahan,Kampung Sawah
1101132008,Kelurahan,Kampung Padang
1101132009,Kelurahan,Pulo Air
1101132010,Kelurahan,Lawe Melang
1101132011,Kelurahan,Mersak
1101132012,Kelurahan,Simpang Dua
1101132013,Kelurahan,Simpang Tiga
110114,Kecamatan,Kluet Timur
1101142001,Kelurahan,Paya Dapur
1101142002,Kelurahan,Sapik
1101142003,Kelurahan,Alai
1101142004,Kelurahan,Durian Kawan
1101142005,Kelurahan,Lawe Sawah
1101142006,Kelurahan,Lawe Buluh Didi
1101142007,Kelurahan,Pucuk Lembang
1101142008,Kelurahan,Paya Laba
1101142009,Kelurahan,Lawe Cimanok
110115,Kecamatan,Bakongan  Timur
1101152001,Kelurahan,Pasie Seubadeh
1101152002,Kelurahan,Ladang Rimba
1101152003,Kelurahan,Ujong Pulo Rayeuk
1101152004,Kelurahan,Sawah Tingkeum
1101152005,Kelurahan,Simpang
1101152006,Kelurahan,Ujong Pulo Cut
1101152008,Kelurahan,Seuleukat
110116,Kecamatan,Trumon Timur
1101162005,Kelurahan,Pinto Rimba
1101162006,Kelurahan,Krueng Luas
1101162007,Kelurahan,Jambo Dalem
1101162008,Kelurahan,Kapa Sesak
1101162009,Kelurahan,Seuneubok Punto
1101162010,Kelurahan,Seuneubok Pusaka
1101162011,Kelurahan,Alur Bujok
1101162012,Kelurahan,Titi Poben
110117,Kecamatan,Kota Bahagia
1101172001,Kelurahan,Buket Gadeng
1101172002,Kelurahan,Rambong
1101172003,Kelurahan,Seuneubok  Keuranji
1101172004,Kelurahan,Seuneubok  Alur Buloh
1101172005,Kelurahan,Ujong Tanoh
1101172006,Kelurahan,Ujong Gunong Cut
1101172007,Kelurahan,Ujong Gunung Rayeuk
