1612,Kota Kabupaten,Kab. Penukal Abab Lematang  Ilir
1613,Kota Kabupaten,Kab. Musi Rawas Utara
1671,Kota Kabupaten,Kota Palembang
1672,Kota Kabupaten,Kota Pagar Alam
1673,Kota Kabupaten,Kota Lubuk Linggau
1674,Kota Kabupaten,Kota Prabumulih
17,Provinsi,Bengkulu
1701,Kota Kabupaten,Kab. Bengkulu Selatan
1702,Kota Kabupaten,Kab. Rejang Lebong
1703,Kota Kabupaten,Kab. Bengkulu Utara
1704,Kota Kabupaten,Kab. Kaur
1705,Kota Kabupaten,Kab. Seluma
1706,Kota Kabupaten,Kab. Muko Muko
1707,Kota Kabupaten,Kab. Lebong
1708,Kota Kabupaten,Kab. Kepahiang
1709,Kota Kabupaten,Kab. Bengkulu Tengah
1771,Kota Kabupaten,Kota Bengkulu
18,Provinsi,Lampung
1801,Kota Kabupaten,Kab. Lampung Selatan
1802,Kota Kabupaten,Kab. Lampung Tengah
1803,Kota Kabupaten,Kab. Lampung Utara
1804,Kota Kabupaten,Kab. Lampung Barat
1805,Kota Kabupaten,Kab. Tulang Bawang
1806,Kota Kabupaten,Kab. Tanggamus
1807,Kota Kabupaten,Kab. Lampung Timur
1808,Kota Kabupaten,Kab. Way Kanan
1809,Kota Kabupaten,Kab. Pesawaran
1810,Kota Kabupaten,Kab. Pringsewu
1811,Kota Kabupaten,Kab. Mesuji
1812,Kota Kabupaten,Kab. Tulang Bawang Barat
1813,Kota Kabupaten,Kab. Pesisir Barat
1871,Kota Kabupaten,Kota Bandar Lampung
1872,Kota Kabupaten,Kota Metro
19,Provinsi,Kepulauan Bangka Belitung
1901,Kota Kabupaten,Kab. Bangka
1902,Kota Kabupaten,Kab. Belitung
1903,Kota Kabupaten,Kab. Bangka Selatan
1904,Kota Kabupaten,Kab. Bangka Tengah
1905,Kota Kabupaten,Kab. Bangka Barat
1906,Kota Kabupaten,Kab. Belitung Timur
1971,Kota Kabupaten,Kota Pangkal Pinang
21,Provinsi,Kepulauan Riau
2101,Kota Kabupaten,Kab. Bintan
2102,Kota Kabupaten,Kab. Karimun
2103,Kota Kabupaten,Kab. Natuna
2104,Kota Kabupaten,Kab. Lingga
2105,Kota Kabupaten,Kab. Kepulauan Anambas
2171,Kota Kabupaten,Kota Batam
2172,Kota Kabupaten,Kota Tanjung Pinang
31,Provinsi,DKI Jakarta
3101,Kota Kabupaten,Kab. Adm. Kep. Seribu
3171,Kota Kabupaten,Kota Adm. Jakarta Pusat
3172,Kota Kabupaten,Kota Adm. Jakarta Utara
3173,Kota Kabupaten,Kota Adm. Jakarta Barat
3174,Kota Kabupaten,Kota Adm. Jakarta Selatan
3175,Kota Kabupaten,Kota Adm. Jakarta Timur
32,Provinsi,Jawa Barat
3201,Kota Kabupaten,Kab. Bogor
3202,Kota Kabupaten,Kab. Sukabumi
3203,Kota Kabupaten,Kab. Cianjur
3204,Kota Kabupaten,Kab. Bandung
3205,Kota Kabupaten,Kab. Garut
3206,Kota Kabupaten,Kab. Tasikmalaya
3207,Kota Kabupaten,Kab. Ciamis
3208,Kota Kabupaten,Kab. Kuningan
3209,Kota Kabupaten,Kab. Cirebon
3210,Kota Kabupaten,Kab. Majalengka
3211,Kota Kabupaten,Kab. Sumedang
3212,Kota Kabupaten,Kab. Indramayu
3213,Kota Kabupaten,Kab. Subang
3214,Kota Kabupaten,Kab. Purwakarta
3215,Kota Kabupaten,Kab. Karawang
3216,Kota Kabupaten,Kab. Bekasi
3217,Kota Kabupaten,Kab. Bandung Barat
3218,Kota Kabupaten,Kab. Pangandaran
3271,Kota Kabupaten,Kota Bogor
3272,Kota Kabupaten,Kota Sukabumi
3273,Kota Kabupaten,Kota Bandung
3274,Kota Kabupaten,Kota Cirebon
3275,Kota Kabupaten,Kota Bekasi
3276,Kota Kabupaten,Kota Depok
3277,Kota Kabupaten,Kota Cimahi
3278,Kota Kabupaten,Kota Tasikmalaya
3279,Kota Kabupaten,Kota Banjar
33,Provinsi,Jawa Tengah
3301,Kota Kabupaten,Kab. Cilacap
3302,Kota Kabupaten,Kab. Banyumas
3303,Kota Kabupaten,Kab. Purbalingga
3304,Kota Kabupaten,Kab. Banjarnegara
3305,Kota Kabupaten,Kab. Kebumen
3306,Kota Kabupaten,Kab. Purworejo
3307,Kota Kabupaten,Kab. Wonosobo
3308,Kota Kabupaten,Kab. Magelang
3309,Kota Kabupaten,Kab. Boyolali
3310,Kota Kabupaten,Kab. Klaten
3311,Kota Kabupaten,Kab. Sukoharjo
3312,Kota Kabupaten,Kab. Wonogiri
3313,Kota Kabupaten,Kab. Karanganyar
3314,Kota Kabupaten,Kab. Sragen
3315,Kota Kabupaten,Kab. Grobogan
3316,Kota Kabupaten,Kab. Blora
3317,Kota Kabupaten,Kab. Rembang
3318,Kota Kabupaten,Kab. Pati
3319,Kota Kabupaten,Kab. Kudus
3320,Kota Kabupaten,Kab. Jepara
3321,Kota Kabupaten,Kab. Demak
3322,Kota Kabupaten,Kab. Semarang
3323,Kota Kabupaten,Kab. Temanggung
3324,Kota Kabupaten,Kab. Kendal
3325,Kota Kabupaten,Kab. Batang
3326,Kota Kabupaten,Kab. Pekalongan
3327,Kota Kabupaten,Kab. Pemalang
3328,Kota Kabupaten,Kab. Tegal
3329,Kota Kabupaten,Kab. Brebes
3371,Kota Kabupaten,Kota Magelang
3372,Kota Kabupaten,Kota Surakarta
3373,Kota Kabupaten,Kota Salatiga
3374,Kota Kabupaten,Kota Semarang
3375,Kota Kabupaten,Kota Pekalongan
3376,Kota Kabupaten,Kota Tegal
34,Provinsi,Yogyakarta
3401,Kota Kabupaten,Kab. Kulon Progo
3402,Kota Kabupaten,Kab. Bantul
3403,Kota Kabupaten,Kab. Gunungkidul
3404,Kota Kabupaten,Kab. Sleman
3471,Kota Kabupaten,Kota Yogyakarta
35,Provinsi,Jawa Timur
3501,Kota Kabupaten,Kab. Pacitan
3502,Kota Kabupaten,Kab. Ponorogo
3503,Kota Kabupaten,Kab. Trenggalek
3504,Kota Kabupaten,Kab. Tulungagung
3505,Kota Kabupaten,Kab. Blitar
3506,Kota Kabupaten,Kab. Kediri
3507,Kota Kabupaten,Kab. Malang
3508,Kota Kabupaten,Kab. Lumajang
3509,Kota Kabupaten,Kab. Jember
3510,Kota Kabupaten,Kab. Banyuwangi
3511,Kota Kabupaten,Kab. Bondowoso
3512,Kota Kabupaten,Kab. Situbondo
3513,Kota Kabupaten,Kab. Probolinggo
3514,Kota Kabupaten,Kab. Pasuruan
3515,Kota Kabupaten,Kab. Sidoarjo
3516,Kota Kabupaten,Kab. Mojokerto
3517,Kota Kabupaten,Kab. Jombang
3518,Kota Kabupaten,Kab. Nganjuk
3519,Kota Kabupaten,Kab. Madiun
3520,Kota Kabupaten,Kab. Magetan
3521,Kota Kabupaten,Kab. Ngawi
3522,Kota Kabupaten,Kab. Bojonegoro
3523,Kota Kabupaten,Kab. Tuban
3524,Kota Kabupaten,Kab. Lamongan
3525,Kota Kabupaten,Kab. Gresik
3526,Kota Kabupaten,Kab. Bangkalan
3527,Kota Kabupaten,Kab. Sampang
3528,Kota Kabupaten,Kab. Pamekasan
3529,Kota Kabupaten,Kab. Sumenep
3571,Kota Kabupaten,Kota Kediri
3572,Kota Kabupaten,Kota Blitar
3573,Kota Kabupaten,Kota Malang
3574,Kota Kabupaten,Kota Probolinggo
3575,Kota Kabupaten,Kota Pasuruan
3576,Kota Kabupaten,Kota Mojokerto
3577,Kota Kabupaten,Kota Madiun
3578,Kota Kabupaten,Kota Surabaya
3579,Kota Kabupaten,Kota Batu
36,Provinsi,Banten
3601,Kota Kabupaten,Kab. Pandeglang
3602,Kota Kabupaten,Kab. Lebak
3603,Kota Kabupaten,Kab. Tangerang
3604,Kota Kabupaten,Kab. Serang
3671,Kota Kabupaten,Kota Tangerang
3672,Kota Kabupaten,Kota Cilegon
3673,Kota Kabupaten,Kota Serang
3674,Kota Kabupaten,Kota Tangerang Selatan
51,Provinsi,Bali
5101,Kota Kabupaten,Kab. Jembrana
5102,Kota Kabupaten,Kab. Tabanan
5103,Kota Kabupaten,Kab. Badung
5104,Kota Kabupaten,Kab. Gianyar
5105,Kota Kabupaten,Kab. Klungkung
5106,Kota Kabupaten,Kab. Bangli
5107,Kota Kabupaten,Kab. Karangasem
5108,Kota Kabupaten,Kab. Buleleng
5171,Kota Kabupaten,Kota Denpasar
52,Provinsi,Nusa Tenggara Barat
5201,Kota Kabupaten,Kab. Lombok Barat
5202,Kota Kabupaten,Kab. Lombok Tengah
5203,Kota Kabupaten,Kab. Lombok Timur
5204,Kota Kabupaten,Kab. Sumbawa
5205,Kota Kabupaten,Kab. Dompu
5206,Kota Kabupaten,Kab. Bima
5207,Kota Kabupaten,Kab. Sumbawa Barat
5208,Kota Kabupaten,Kab. Lombok Utara
5271,Kota Kabupaten,Kota Mataram
5272,Kota Kabupaten,Kota Bima
53,Provinsi,Nusa Tenggara Timur
5301,Kota Kabupaten,Kab. Kupang
5302,Kota Kabupaten,Kab Timor Tengah Selatan
5303,Kota Kabupaten,Kab. Timor Tengah Utara
5304,Kota Kabupaten,Kab. Belu
5305,Kota Kabupaten,Kab. Alor
5306,Kota Kabupaten,Kab. Flores Timur
5307,Kota Kabupaten,Kab. Sikka
5308,Kota Kabupaten,Kab. Ende
5309,Kota Kabupaten,Kab. Ngada
5310,Kota Kabupaten,Kab. Manggarai
5311,Kota Kabupaten,Kab. Sumba Barat
5312,Kota Kabupaten,Kab. Sumba Timur
5313,Kota Kabupaten,Kab. Lembata
5314,Kota Kabupaten,Kab. Rote Ndao
5315,Kota Kabupaten,Kab. Manggarai Barat
5316,Kota Kabupaten,Kab. Nagekeo
5317,Kota Kabupaten,Kab. Sumba Tengah
5318,Kota Kabupaten,Kab. Sumba Barat Daya
5319,Kota Kabupaten,Kab. Manggarai Timur
5320,Kota Kabupaten,Kab. Sabu Raijua
5321,Kota Kabupaten,Kab. Malaka
