,Kategori Wilayah,Kode Wilayah,Nama Wilayah
143,Kelurahan,1101092001,Keude Trumon
144,Kelurahan,1101092002,Ujong Tanoh
145,Kelurahan,1101092003,Sigleng
146,Kelurahan,1101092004,Ie Meudama
147,Kelurahan,1101092005,Tuepin Tinggi
148,Kelurahan,1101092006,Kuta Baro
149,Kelurahan,1101092007,Panton Bilie
150,Kelurahan,1101092012,Kuta Padang
151,Kelurahan,1101092013,Raket
152,Kelurahan,1101092014,Gampong Teungoh
153,Kelurahan,1101092015,Seuneubok  Jaya
154,Kelurahan,1101092016,Padang Harapan
155,Kelurahan,1101102001,Ladang Teungoh
156,Kelurahan,1101102002,Pucok Krueng
157,Kelurahan,1101102003,Silolo
158,Kelurahan,1101102004,Kampung Baru
159,Kelurahan,1101102005,Panton Bili
160,Kelurahan,1101102006,Paya Ateuk
161,Kelurahan,1101102007,Ladang Tuha
162,Kelurahan,1101102008,Mata Ie
163,Kelurahan,1101102009,Ujong Batee
164,Kelurahan,1101102010,Lhok Sialang Cut
165,Kelurahan,1101102011,Seuneubok
166,Kelurahan,1101102012,Ie Mirah
167,Kelurahan,1101102013,Pasie Rasian
168,Kelurahan,1101102014,Ujung Padang Rasian
169,Kelurahan,1101102015,Krueng Kalee
170,Kelurahan,1101102016,Lhok Sialang Rayeuk
171,Kelurahan,1101102017,Gampong Baro
172,Kelurahan,1101102018,Teupin Gajah
173,Kelurahan,1101102019,Ujung Padang Asahan
174,Kelurahan,1101102020,Pulo Ie II
175,Kelurahan,1101102021,Pante Raja
176,Kelurahan,1101112001,Tengah Peulumat
177,Kelurahan,1101112002,Paya Peulumat
178,Kelurahan,1101112003,Padang Peulumat
179,Kelurahan,1101112004,Aur Peulumat
180,Kelurahan,1101112005,Limau Saring
181,Kelurahan,1101112006,Beutong
182,Kelurahan,1101112007,Peuneulop
183,Kelurahan,1101112008,Gunung Rotan
184,Kelurahan,1101112009,Keumumu  Hilir
185,Kelurahan,1101112010,Keumumu Hulu
186,Kelurahan,1101112011,Keumumu Seberang
187,Kelurahan,1101112012,Sawang Indah
188,Kelurahan,1101122001,Tutong
189,Kelurahan,1101122002,Teungoh Iboh
190,Kelurahan,1101122003,Peulokan
191,Kelurahan,1101122004,Kuta Iboh
192,Kelurahan,1101122005,Ujung Padang
193,Kelurahan,1101122006,Blang Baru
194,Kelurahan,1101122007,Blang Poroh
195,Kelurahan,1101122008,Pulo Ie
196,Kelurahan,1101122009,Suak Lokan
197,Kelurahan,1101122010,Iku Lhueng
198,Kelurahan,1101122011,Kuta Trieng
199,Kelurahan,1101122012,Pante Geulima
200,Kelurahan,1101122013,Panton Pawoh
201,Kelurahan,1101122014,Batee Meucanang
202,Kelurahan,1101122015,Panton Rubek
203,Kelurahan,1101132001,Koto
204,Kelurahan,1101132002,Alur Keujrun
205,Kelurahan,1101132003,Jambo Papan
206,Kelurahan,1101132004,Malaka
207,Kelurahan,1101132005,Koto Indarung
