code,display
302668004,Structure of lateral circumflex femoral vein (body structure)
39959004,Structure of lateral collateral ligament of knee joint (body structure)
41145006,Structure of lateral common iliac lymph node (body structure)
118519008,Structure of lateral compartment of lower leg (body structure)
122475000,Structure of lateral condyle of femur (body structure)
439981005,Structure of lateral condyle of humerus (body structure)
65548001,Structure of lateral condyle of tibia (body structure)
461002,Structure of lateral corticospinal tract (body structure)
33641005,Structure of lateral costal branch of internal thoracic artery (body structure)
46632007,Structure of lateral costotransverse ligament (body structure)
14253003,Structure of lateral cricoarytenoid muscle (body structure)
48900004,Structure of lateral crus of greater alar cartilage (body structure)
82905002,Structure of lateral crus of superficial inguinal ring (body structure)
10484007,Structure of lateral cubital region (body structure)
241508007,Structure of lateral dorsal cutaneous nerve of foot (body structure)
28186002,Structure of lateral dorsal nucleus of thalamus (body structure)
72264004,Structure of lateral epicondyle of femur (body structure)
73451009,Structure of lateral epicondyle of humerus (body structure)
40242007,Structure of lateral external iliac lymph node (body structure)
45911006,Structure of lateral fasciculus of brachial plexus (body structure)
65490005,Structure of lateral femoral cutaneous nerve (body structure)
37427006,Structure of lateral femoral cutaneous vein (body structure)
212034003,Structure of lateral flexor tendon of knee (body structure)
28803009,Structure of lateral floor of mouth (body structure)
37242006,Structure of lateral fornix (body structure)
8057002,Structure of lateral globus pallidus (body structure)
8897003,Structure of lateral glossoepiglottic fold (body structure)
44682000,Structure of lateral gray horn of spinal cord (body structure)
113233007,Structure of lateral head of gastrocnemius muscle (body structure)
38411001,Structure of lateral head of triceps brachii muscle (body structure)
40245009,Structure of lateral hypothalamic nucleus (body structure)
422365004,Structure of lateral incisor tooth (body structure)
33775001,Structure of lateral inguinal fossa (body structure)
73983006,Structure of lateral intermuscular brachial septum (body structure)
61222001,Structure of lateral intertransversarius lumborum muscle (body structure)
168159002,Structure of lateral jugular lymph node (body structure)
88288001,Structure of lateral lacunae of superior sagittal sinus (body structure)
29762003,Structure of lateral lemniscus nucleus (body structure)
71310002,Structure of lateral ligament of ankle joint (body structure)
77795001,Structure of lateral ligament of malleus (body structure)
9332006,Structure of lateral ligament of temporomandibular joint (body structure)
54754007,Structure of lateral lobe of prostate (body structure)
