system,code,display,definition
http://terminology.hl7.org/CodeSystem/v3-Race,1754-1,Circle,Circle
http://terminology.hl7.org/CodeSystem/v3-Race,1755-8,Cook Inlet,Cook Inlet
http://terminology.hl7.org/CodeSystem/v3-Race,1756-6,Copper Center,Copper Center
http://terminology.hl7.org/CodeSystem/v3-Race,1757-4,Copper River,Copper River
http://terminology.hl7.org/CodeSystem/v3-Race,1758-2,Dot Lake,Dot Lake
http://terminology.hl7.org/CodeSystem/v3-Race,1759-0,Doyon,Doyon
http://terminology.hl7.org/CodeSystem/v3-Race,1760-8,Eagle,Eagle
http://terminology.hl7.org/CodeSystem/v3-Race,1761-6,Eklutna,Eklutna
http://terminology.hl7.org/CodeSystem/v3-Race,1762-4,Evansville,Evansville
http://terminology.hl7.org/CodeSystem/v3-Race,1763-2,Fort Yukon,Fort Yukon
http://terminology.hl7.org/CodeSystem/v3-Race,1764-0,Gakona,Gakona
http://terminology.hl7.org/CodeSystem/v3-Race,1765-7,Galena,Galena
http://terminology.hl7.org/CodeSystem/v3-Race,1766-5,Grayling,Grayling
http://terminology.hl7.org/CodeSystem/v3-Race,1767-3,Gulkana,Gulkana
http://terminology.hl7.org/CodeSystem/v3-Race,1768-1,Healy Lake,Healy Lake
http://terminology.hl7.org/CodeSystem/v3-Race,1769-9,Holy Cross,Holy Cross
http://terminology.hl7.org/CodeSystem/v3-Race,1770-7,Hughes,Hughes
http://terminology.hl7.org/CodeSystem/v3-Race,1771-5,Huslia,Huslia
http://terminology.hl7.org/CodeSystem/v3-Race,1772-3,Iliamna,Iliamna
http://terminology.hl7.org/CodeSystem/v3-Race,1773-1,Kaltag,Kaltag
http://terminology.hl7.org/CodeSystem/v3-Race,1774-9,Kluti Kaah,Kluti Kaah
http://terminology.hl7.org/CodeSystem/v3-Race,1775-6,Knik,Knik
http://terminology.hl7.org/CodeSystem/v3-Race,1776-4,Koyukuk,Koyukuk
http://terminology.hl7.org/CodeSystem/v3-Race,1777-2,Lake Minchumina,Lake Minchumina
http://terminology.hl7.org/CodeSystem/v3-Race,1778-0,Lime,Lime
http://terminology.hl7.org/CodeSystem/v3-Race,1779-8,Mcgrath,Mcgrath
http://terminology.hl7.org/CodeSystem/v3-Race,1780-6,Manley Hot Springs,Manley Hot Springs
http://terminology.hl7.org/CodeSystem/v3-Race,1781-4,Mentasta Lake,Mentasta Lake
http://terminology.hl7.org/CodeSystem/v3-Race,1782-2,Minto,Minto
http://terminology.hl7.org/CodeSystem/v3-Race,1783-0,Nenana,Nenana
http://terminology.hl7.org/CodeSystem/v3-Race,1784-8,Nikolai,Nikolai
http://terminology.hl7.org/CodeSystem/v3-Race,1785-5,Ninilchik,Ninilchik
http://terminology.hl7.org/CodeSystem/v3-Race,1786-3,Nondalton,Nondalton
http://terminology.hl7.org/CodeSystem/v3-Race,1787-1,Northway,Northway
http://terminology.hl7.org/CodeSystem/v3-Race,1788-9,Nulato,Nulato
http://terminology.hl7.org/CodeSystem/v3-Race,1789-7,Pedro Bay,Pedro Bay
http://terminology.hl7.org/CodeSystem/v3-Race,1790-5,Rampart,Rampart
http://terminology.hl7.org/CodeSystem/v3-Race,1791-3,Ruby,Ruby
http://terminology.hl7.org/CodeSystem/v3-Race,1792-1,Salamatof,Salamatof
http://terminology.hl7.org/CodeSystem/v3-Race,1793-9,Seldovia,Seldovia
http://terminology.hl7.org/CodeSystem/v3-Race,1794-7,Slana,Slana
http://terminology.hl7.org/CodeSystem/v3-Race,1795-4,Shageluk,Shageluk
http://terminology.hl7.org/CodeSystem/v3-Race,1796-2,Stevens,Stevens
http://terminology.hl7.org/CodeSystem/v3-Race,1797-0,Stony River,Stony River
http://terminology.hl7.org/CodeSystem/v3-Race,1798-8,Takotna,Takotna
http://terminology.hl7.org/CodeSystem/v3-Race,1799-6,Tanacross,Tanacross
http://terminology.hl7.org/CodeSystem/v3-Race,1800-2,Tanaina,Tanaina
http://terminology.hl7.org/CodeSystem/v3-Race,1801-0,Tanana,Tanana
http://terminology.hl7.org/CodeSystem/v3-Race,1802-8,Tanana Chiefs,Tanana Chiefs
http://terminology.hl7.org/CodeSystem/v3-Race,1803-6,Tazlina,Tazlina
http://terminology.hl7.org/CodeSystem/v3-Race,1804-4,Telida,Telida
http://terminology.hl7.org/CodeSystem/v3-Race,1805-1,Tetlin,Tetlin
http://terminology.hl7.org/CodeSystem/v3-Race,1806-9,Tok,Tok
http://terminology.hl7.org/CodeSystem/v3-Race,1807-7,Tyonek,Tyonek
http://terminology.hl7.org/CodeSystem/v3-Race,1808-5,Venetie,Venetie
http://terminology.hl7.org/CodeSystem/v3-Race,1809-3,Wiseman,Wiseman
http://terminology.hl7.org/CodeSystem/v3-Race,1078-5,Cayuse,Cayuse
http://terminology.hl7.org/CodeSystem/v3-Race,1080-1,Chehalis,Chehalis
http://terminology.hl7.org/CodeSystem/v3-Race,1082-7,Chemakuan,Chemakuan
http://terminology.hl7.org/CodeSystem/v3-Race,1083-5,Hoh,Hoh
http://terminology.hl7.org/CodeSystem/v3-Race,1084-3,Quileute,Quileute
http://terminology.hl7.org/CodeSystem/v3-Race,1086-8,Chemehuevi,Chemehuevi
http://terminology.hl7.org/CodeSystem/v3-Race,1088-4,Cherokee,Cherokee
http://terminology.hl7.org/CodeSystem/v3-Race,1089-2,Cherokee Alabama,Cherokee Alabama
http://terminology.hl7.org/CodeSystem/v3-Race,1090-0,Cherokees of Northeast Alabama,Cherokees of Northeast Alabama
http://terminology.hl7.org/CodeSystem/v3-Race,1091-8,Cherokees of Southeast Alabama,Cherokees of Southeast Alabama
http://terminology.hl7.org/CodeSystem/v3-Race,1092-6,Eastern Cherokee,Eastern Cherokee
http://terminology.hl7.org/CodeSystem/v3-Race,1093-4,Echota Cherokee,Echota Cherokee
http://terminology.hl7.org/CodeSystem/v3-Race,1094-2,Etowah Cherokee,Etowah Cherokee
http://terminology.hl7.org/CodeSystem/v3-Race,1095-9,Northern Cherokee,Northern Cherokee
http://terminology.hl7.org/CodeSystem/v3-Race,1096-7,Tuscola,Tuscola
http://terminology.hl7.org/CodeSystem/v3-Race,1097-5,United Keetowah Band of Cherokee,United Keetowah Band of Cherokee
http://terminology.hl7.org/CodeSystem/v3-Race,1098-3,Western Cherokee,Western Cherokee
http://terminology.hl7.org/CodeSystem/v3-Race,1100-7,Cherokee Shawnee,Cherokee Shawnee
http://terminology.hl7.org/CodeSystem/v3-Race,1102-3,Cheyenne,Cheyenne
http://terminology.hl7.org/CodeSystem/v3-Race,1103-1,Northern Cheyenne,Northern Cheyenne
http://terminology.hl7.org/CodeSystem/v3-Race,1104-9,Southern Cheyenne,Southern Cheyenne
http://terminology.hl7.org/CodeSystem/v3-Race,1106-4,Cheyenne-Arapaho,Cheyenne-Arapaho
http://terminology.hl7.org/CodeSystem/v3-Race,1108-0,Chickahominy,Chickahominy
http://terminology.hl7.org/CodeSystem/v3-Race,1109-8,Eastern Chickahominy,Eastern Chickahominy
http://terminology.hl7.org/CodeSystem/v3-Race,1110-6,Western Chickahominy,Western Chickahominy
http://terminology.hl7.org/CodeSystem/v3-Race,1112-2,Chickasaw,Chickasaw
http://terminology.hl7.org/CodeSystem/v3-Race,1114-8,Chinook,Chinook
http://terminology.hl7.org/CodeSystem/v3-Race,1115-5,Clatsop,Clatsop
http://terminology.hl7.org/CodeSystem/v3-Race,1116-3,Columbia River Chinook,Columbia River Chinook
http://terminology.hl7.org/CodeSystem/v3-Race,1117-1,Kathlamet,Kathlamet
http://terminology.hl7.org/CodeSystem/v3-Race,1118-9,Upper Chinook,Upper Chinook
http://terminology.hl7.org/CodeSystem/v3-Race,1119-7,Wakiakum Chinook,Wakiakum Chinook
http://terminology.hl7.org/CodeSystem/v3-Race,1120-5,Willapa Chinook,Willapa Chinook
http://terminology.hl7.org/CodeSystem/v3-Race,1121-3,Wishram,Wishram
http://terminology.hl7.org/CodeSystem/v3-Race,1123-9,Chippewa,Chippewa
http://terminology.hl7.org/CodeSystem/v3-Race,1124-7,Bad River,Bad River
http://terminology.hl7.org/CodeSystem/v3-Race,1125-4,Bay Mills Chippewa,Bay Mills Chippewa
http://terminology.hl7.org/CodeSystem/v3-Race,1126-2,Bois Forte,Bois Forte
http://terminology.hl7.org/CodeSystem/v3-Race,1127-0,Burt Lake Chippewa,Burt Lake Chippewa
http://terminology.hl7.org/CodeSystem/v3-Race,1128-8,Fond du Lac,Fond du Lac
http://terminology.hl7.org/CodeSystem/v3-Race,1129-6,Grand Portage,Grand Portage
http://terminology.hl7.org/CodeSystem/v3-Race,1130-4,Grand Traverse Band of Ottawa-Chippewa,Grand Traverse Band of Ottawa-Chippewa
http://terminology.hl7.org/CodeSystem/v3-Race,1131-2,Keweenaw,Keweenaw
http://terminology.hl7.org/CodeSystem/v3-Race,1132-0,Lac Courte Oreilles,Lac Courte Oreilles
http://terminology.hl7.org/CodeSystem/v3-Race,1133-8,Lac du Flambeau,Lac du Flambeau
http://terminology.hl7.org/CodeSystem/v3-Race,1134-6,Lac Vieux Desert Chippewa,Lac Vieux Desert Chippewa
http://terminology.hl7.org/CodeSystem/v3-Race,1135-3,Lake Superior,Lake Superior
http://terminology.hl7.org/CodeSystem/v3-Race,1136-1,Leech Lake,Leech Lake
