code,display,system
1206000,Alpha 2 adrenergic blocking agent,http://snomed.info/sct
1219001,Diethyl xanthogen disulfide,http://snomed.info/sct
1223009,Blood group antigen Marks,http://snomed.info/sct
1244009,Fibrinogen Madrid I,http://snomed.info/sct
1248007,Leucostoma neutral proteinase,http://snomed.info/sct
1269009,Amikacin sulfate,http://snomed.info/sct
1272002,Pteridine oxidase,http://snomed.info/sct
1273007,Blood group antibody Evelyn,http://snomed.info/sct
1313002,Nitrate reductase (cytochrome),http://snomed.info/sct
1319003,Blood group antibody K18,http://snomed.info/sct
1320009,Hemoglobin Manitoba,http://snomed.info/sct
1325004,Metocurine iodide,http://snomed.info/sct
1331001,Methamidophos,http://snomed.info/sct
1334009,Estradiol receptor,http://snomed.info/sct
1336006,Deoxycortone,http://snomed.info/sct
1341003,Hemoglobin Ta-li,http://snomed.info/sct
1346008,Blue shade eosin stain,http://snomed.info/sct
1355006,Coagulation factor IX Oxford 3 variant,http://snomed.info/sct
1368003,Iodine-131,http://snomed.info/sct
1371006,Blood group antigen Big,http://snomed.info/sct
1373009,^93^Zirconium,http://snomed.info/sct
1381005,^126^Iodine,http://snomed.info/sct
1389007,Beclometasone,http://snomed.info/sct
1394007,Iron pentacarbonyl,http://snomed.info/sct
1396009,Actinium,http://snomed.info/sct
1405004,Blood group antibody M^e^,http://snomed.info/sct
1408002,Blood group antibody 1123K,http://snomed.info/sct
1416006,Radium compound,http://snomed.info/sct
1450002,Methylpentynol,http://snomed.info/sct
1466000,Cyclomaltodextrinase,http://snomed.info/sct
1472000,Adenosine-phosphate deaminase,http://snomed.info/sct
1476002,Codeine sulfate,http://snomed.info/sct
1477006,Hemoglobin Yatsushiro,http://snomed.info/sct
1496005,Proto-oncogene,http://snomed.info/sct
1506001,CH1 (ISBT symbol),http://snomed.info/sct
1517000,HLA - Human leukocyte antigen B21,http://snomed.info/sct
1528001,Folinic acid product,http://snomed.info/sct
1530004,6-Carboxyhexanoate-coenzyme A ligase,http://snomed.info/sct
1535009,Nitrogen fluoride,http://snomed.info/sct
1536005,Pargyline hydrochloride,http://snomed.info/sct
1540001,Tellurium radioisotope,http://snomed.info/sct
1545006,Uridine phosphorylase,http://snomed.info/sct
